#Function	Subsystem	Classification 1	Classification 2
Phenolic acid decarboxylase (EC 4.1.1.-)	CBSS-1352.1.peg.856	Clustering-based subsystems	
Negative regulator of phenolic acid metabolism PadR	CBSS-1352.1.peg.856	Clustering-based subsystems	
Transcriptional regulator, PadR family	CBSS-1352.1.peg.856	Clustering-based subsystems	
Ku domain protein	Nonhomologous_End-Joining_in_Bacteria	DNA Metabolism	DNA repair
ATP-dependent DNA ligase (EC 6.5.1.1) clustered with Ku protein, LigD	Nonhomologous_End-Joining_in_Bacteria	DNA Metabolism	DNA repair
ATP-dependent DNA ligase (EC 6.5.1.1) LigC	Nonhomologous_End-Joining_in_Bacteria	DNA Metabolism	DNA repair
Carbamate kinase (EC 2.7.2.2)	MLST	Virulence	Detection
Shikimate 5-dehydrogenase (EC 1.1.1.25)	MLST	Virulence	Detection
Glycerol kinase (EC 2.7.1.30)	MLST	Virulence	Detection
Guanylate kinase (EC 2.7.4.8)	MLST	Virulence	Detection
Phosphate acetyltransferase (EC 2.3.1.8)	MLST	Virulence	Detection
Triosephosphate isomerase (EC 5.3.1.1)	MLST	Virulence	Detection
Acetyl-CoA acetyltransferase (EC 2.3.1.9)	MLST	Virulence	Detection
Phage DNA binding ATPase	Phage_Dual_Exonuclease_Exclusion	Phages, Prophages, Transposable elements	Superinfection Exclusion
Phage DNA binding protein HkaK	Phage_Dual_Exonuclease_Exclusion	Phages, Prophages, Transposable elements	Superinfection Exclusion
Exodeoxyribonuclease X (EC 3.1.11.-)	Phage_Dual_Exonuclease_Exclusion	Phages, Prophages, Transposable elements	Superinfection Exclusion
Predicted 3'-5' exonuclease related to the exonuclease domain of PolB	Phage_Dual_Exonuclease_Exclusion	Phages, Prophages, Transposable elements	Superinfection Exclusion
Phage DNA and RNA binding protein	Phage_Dual_Exonuclease_Exclusion	Phages, Prophages, Transposable elements	Superinfection Exclusion
Phage resistance protein	Phage_Dual_Exonuclease_Exclusion	Phages, Prophages, Transposable elements	Superinfection Exclusion
Phage DNA repair protein	Phage_Dual_Exonuclease_Exclusion	Phages, Prophages, Transposable elements	Superinfection Exclusion
Isochorismate synthase (EC 5.4.4.2) [enterobactin] siderophore	Siderophore_Enterobactin	Virulence	
Isochorismatase (EC 3.3.2.1) [enterobactin] siderophore	Siderophore_Enterobactin	Virulence	
Apo-aryl carrier domain of EntB	Siderophore_Enterobactin	Virulence	
2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase (EC 1.3.1.28) [enterobactin] siderophore	Siderophore_Enterobactin	Virulence	
2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [enterobactin] siderophore	Siderophore_Enterobactin	Virulence	
4'-phosphopantetheinyl transferase (EC 2.7.8.-) [enterobactin] siderophore	Siderophore_Enterobactin	Virulence	
Enterobactin synthetase component F, serine activating enzyme (EC 2.7.7.-)	Siderophore_Enterobactin	Virulence	
Proofreading thioesterase in enterobactin biosynthesis EntH	Siderophore_Enterobactin	Virulence	
FIG005032: Putative cytoplasmic protein YbdZ in enterobactin biosynthesis operon	Siderophore_Enterobactin	Virulence	
Enterobactin exporter EntS	Siderophore_Enterobactin	Virulence	
Enterobactin esterase	Siderophore_Enterobactin	Virulence	
Ferric enterobactin-binding periplasmic protein FepB (TC 3.A.1.14.2)	Siderophore_Enterobactin	Virulence	
Ferric enterobactin transport ATP-binding protein FepC (TC 3.A.1.14.2)	Siderophore_Enterobactin	Virulence	
Ferric enterobactin transport system permease protein FepD (TC 3.A.1.14.2)	Siderophore_Enterobactin	Virulence	
Ferric enterobactin transport system permease protein FepG (TC 3.A.1.14.2)	Siderophore_Enterobactin	Virulence	
Ferric enterobactin uptake protein FepE	Siderophore_Enterobactin	Virulence	
Outer membrane receptor for ferric enterobactin and colicins B, D	Siderophore_Enterobactin	Virulence	
Outer membrane receptor for ferric enterobactin PfeA	Siderophore_Enterobactin	Virulence	
Two-component sensor histidine kinase PfeS, enterobactin	Siderophore_Enterobactin	Virulence	
Two-component response regulator PfeR, enterobactin	Siderophore_Enterobactin	Virulence	
Transcriptional regulator of AraC family, enterobactin-dependent, predicted	Siderophore_Enterobactin	Virulence	
ATPase of the AAA+ family protein associated with FIG137771 hypothetical protein	At1g14345		
FIG052964: hypothetical protein	At1g14345		
FIG057954: metal-binding, possibly nucleic acid-binding protein	At1g14345		
FIG137771: hypothetical protein	At1g14345		
Inner membrane protein translocase component YidC, short form OxaI-like	At1g14345		
LSU ribosomal protein L34p	At1g14345		
RNA-binding protein Jag	At1g14345		
Ribonuclease P protein component (EC 3.1.26.5)	At1g14345		
1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate dehydrogenase (EC 1.3.1.25)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Aromatic hydrocarbon utilization transcriptional regulator CatR (LysR family)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Benzoate 1,2-dioxygenase alpha subunit (EC 1.14.12.10)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Benzoate 1,2-dioxygenase beta subunit (EC 1.14.12.10)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Benzoate transport protein	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Catechol 1,2-dioxygenase (EC 1.13.11.1)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Muconate cycloisomerase (EC 5.5.1.1)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Muconolactone isomerase (EC 5.3.3.4)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Vanillin dehydrogenase (Hydroxybenzaldehyde dehydrogenase) (EC 1.2.1.28)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
benABC operon transcriptional activator BenR	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
benzoate MFS transporter BenK	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
benzoate dioxygenase, ferredoxin reductase component	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
benzoate-specific porin	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Benzoate catabolic operon transcription regulator	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Benzoylformate decarboxylase (EC 4.1.1.7)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Kynurenine formamidase, bacterial (EC 3.5.1.9)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Putative benzaldehyde dehydrogenase oxidoreductase protein (EC 1.2.1.28)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Toluate 1,2-dioxygenase alpha subunit	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Toluate 1,2-dioxygenase beta subunit	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Toluate 1,2-dioxygenase electron transfer component	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Ortho-halobenzoate 1,2-dioxygenase alpha-ISP protein OhbB	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Ortho-halobenzoate 1,2-dioxygenase beta-ISP protein OhbA	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Probable VANILLIN dehydrogenase oxidoreductase protein (EC 1.-.-.-)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Ring hydroxylating dioxygenase, alpha subunit (EC 1.14.12.13)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
2-hydroxymuconic semialdehyde hydrolase (EC 3.1.1.-)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
2-chlorobenzoate 1,2-dioxygenase (EC 1.14.12.13)	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
Probable TOLUENESULFONATE zinc-independent alcohol dehydrogenase oxidoreductase protein	Benzoate_degradation	Metabolism of Aromatic Compounds	Peripheral pathways for catabolism of aromatic compounds
