#Function	Subsystem	Classification 1	Classification 2
Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	Ribonucleotide_reductase_cluster	Clustering-based subsystems	
Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	Ribonucleotide_reductase_cluster	Clustering-based subsystems	
FIG001676: Ferredoxin	Ribonucleotide_reductase_cluster	Clustering-based subsystems	
hypothetical protein related to DNA replication/repair	A_hypothetical_related_to_DNA_replication_and_repair	Clustering-based subsystems	
DNA polymerase-like protein PA0670	A_hypothetical_related_to_DNA_replication_and_repair	Clustering-based subsystems	
DNA polymerase III alpha subunit (EC 2.7.7.7)	A_hypothetical_related_to_DNA_replication_and_repair	Clustering-based subsystems	
Glycerate kinase (EC 2.7.1.31)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Aldehyde dehydrogenase B (EC 1.2.1.22)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Alcohol dehydrogenase (EC 1.1.1.1)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Glycerol kinase (EC 2.7.1.30)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Glycerol-3-phosphate acyltransferase (EC 2.3.1.15)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Phosphate:acyl-ACP acyltransferase PlsX	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Acyl-phosphate:glycerol-3-phosphate O-acyltransferase PlsY	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Acyl carrier protein	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Diacylglycerol kinase (EC 2.7.1.107)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Aerobic glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Anaerobic glycerol-3-phosphate dehydrogenase subunit A (EC 1.1.5.3)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Anaerobic glycerol-3-phosphate dehydrogenase subunit B (EC 1.1.5.3)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Phosphatidate cytidylyltransferase (EC 2.7.7.41)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
CDP-diacylglycerol--serine O-phosphatidyltransferase (EC 2.7.8.8)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
CDP-diacylglycerol pyrophosphatase (EC 3.6.1.26)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Phosphatidylserine decarboxylase (EC 4.1.1.65)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase (EC 2.7.8.5)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Phosphatidylglycerophosphatase A (EC 3.1.3.27)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Phosphatidylglycerophosphatase B (EC 3.1.3.27)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Cardiolipin synthetase (EC 2.7.8.-)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Aldehyde dehydrogenase (EC 1.2.1.3)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Dihydroxyacetone kinase family protein	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Glycerol-1-phosphate dehydrogenase [NAD(P)] (EC 1.1.1.261)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Glycerol-3-phosphate dehydrogenase (EC 1.1.5.3)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Alpha-glycerophosphate oxidase (EC 1.1.3.21)	Glycerolipid_and_Glycerophospholipid_Metabolism_in_Bacteria	Fatty Acids, Lipids, and Isoprenoids	Phospholipids
Possible divergent polysaccharide deacetylase	CBSS-224911.1.peg.435	Clustering-based subsystems	
FIG000735: Adenosine (5')-pentaphospho-(5'')-adenosine pyrophosphohydrolase (EC 3.6.1.-)	CBSS-224911.1.peg.435	Clustering-based subsystems	
Carboxyl-terminal protease (EC 3.4.21.102)	CBSS-224911.1.peg.435	Clustering-based subsystems	
Peptidase M23B precursor	CBSS-224911.1.peg.435	Clustering-based subsystems	
Uncharacterized protein YqeC	CBSS-155864.1.peg.3753	Clustering-based subsystems	
Uncharacterized protein YqeB	CBSS-155864.1.peg.3753	Clustering-based subsystems	
SsnA protein	CBSS-155864.1.peg.3753	Clustering-based subsystems	
CTP:molybdopterin cytidylyltransferase	CBSS-155864.1.peg.3753	Clustering-based subsystems	
Putative diaminopropionate ammonia-lyase (EC 4.3.1.15)	CBSS-155864.1.peg.3753	Clustering-based subsystems	
Glutamate synthase [NADPH] small chain (EC 1.4.1.13)	CBSS-155864.1.peg.3753	Clustering-based subsystems	
Pyridine nucleotide-disulphide oxidoreductase family protein associated with PFOR	CBSS-155864.1.peg.3753	Clustering-based subsystems	
Pyridine nucleotide-disulphide oxidoreductase domain protein	CBSS-155864.1.peg.3753	Clustering-based subsystems	
Inner membrane protein translocase component YidC, long form	Mycobacterium_virulence_operon_involved_in_an_unknown_function_with_a_Jag_Protein_and_YidC_and_YidD	Virulence	
RNA-binding protein Jag	Mycobacterium_virulence_operon_involved_in_an_unknown_function_with_a_Jag_Protein_and_YidC_and_YidD	Virulence	
Protein YidD	Mycobacterium_virulence_operon_involved_in_an_unknown_function_with_a_Jag_Protein_and_YidC_and_YidD	Virulence	
Inner membrane protein translocase component YidC, short form OxaI-like	Mycobacterium_virulence_operon_involved_in_an_unknown_function_with_a_Jag_Protein_and_YidC_and_YidD	Virulence	
LSU ribosomal protein L1p (L10Ae)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L2p (L8e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L3p (L3e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L4p (L1e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L5p (L11e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L6p (L9e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L7/L12 (P1/P2)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L9p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L10p (P0)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L11p (L12e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L13p (L13Ae)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L14p (L23e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L15p (L27Ae)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L16p (L10e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L17p	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
LSU ribosomal protein L18p (L5e)	Ribospme_LSU_Symbiont	Protein Metabolism	Protein biosynthesis
