Alpha-fimbriae chaperone protein	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#945;-Fimbriae
Alpha-fimbriae major subunit	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#945;-Fimbriae
Alpha-fimbriae usher protein	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#945;-Fimbriae
Alpha-fimbriae tip adhesin	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#945;-Fimbriae
Alpha-related fimbriae usher protein	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#945;-related Fimbriae in Yersinia
Alpha-related fimbriae minor subunit 1	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#945;-related Fimbriae in Yersinia
Alpha-related fimbriae minor subunit 2	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#945;-related Fimbriae in Yersinia
Alpha-related fimbriae major subunit	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#945;-related Fimbriae in Yersinia
Alpha-related fimbriae chaperone 1	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#945;-related Fimbriae in Yersinia
Alpha-related fimbriae chaperone 2	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#945;-related Fimbriae in Yersinia
Beta-fimbriae usher protein	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#946;-Fimbriae
Beta-fimbriae probable major subunit	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#946;-Fimbriae
Beta-fimbriae chaperone protein	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#946;-Fimbriae
Kappa-fimbriae usher protein	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#954;-Fimbriae
Kappa-fimbriae chaperone protein	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#954;-Fimbriae
Kappa-fimbriae major subunit	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#954;-Fimbriae
Kappa-fimbriae probable subunit	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#954;-Fimbriae
Kappa-fimbriae regulatory protein	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#954;-Fimbriae
Sigma-fimbriae uncharacterized paralogous subunit	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#963;-Fimbriae
Sigma-fimbriae uncharacterized subunit	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#963;-Fimbriae
Sigma-fimbriae chaperone protein	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#963;-Fimbriae
Sigma-fimbriae usher protein	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#963;-Fimbriae
Sigma-fimbriae tip adhesin	Virulence	Fimbriae of the Chaperone/Usher Assembly Pathway	&#963;-Fimbriae
Chitin catabolic cascade sensor histidine kinase ChiS	Carbohydrates	Aminosugars	(GlcNAc)2 Catabolic Operon
(GlcNAc)2 ABC transporter, periplasmic substrate-binding protein	Carbohydrates	Aminosugars	(GlcNAc)2 Catabolic Operon
(GlcNAc)2 ABC transporter, permease component 1	Carbohydrates	Aminosugars	(GlcNAc)2 Catabolic Operon
(GlcNAc)2 ABC transporter, permease component 2	Carbohydrates	Aminosugars	(GlcNAc)2 Catabolic Operon
(GlcNAc)2 ABC transporter, ATP-binding component 1	Carbohydrates	Aminosugars	(GlcNAc)2 Catabolic Operon
(GlcNAc)2 ABC transporter, ATP-binding component 2	Carbohydrates	Aminosugars	(GlcNAc)2 Catabolic Operon
Glucosamine-link cellobiase (EC 3.2.1.21)	Carbohydrates	Aminosugars	(GlcNAc)2 Catabolic Operon
Glucosamine kinase GpsK (EC 2.7.1.8)	Carbohydrates	Aminosugars	(GlcNAc)2 Catabolic Operon
Beta-N-acetylhexosaminidase, (GlcNAc)2 catabolism	Carbohydrates	Aminosugars	(GlcNAc)2 Catabolic Operon
Chitobiose phosphorylase (EC 2.4.1.-)	Carbohydrates	Aminosugars	(GlcNAc)2 Catabolic Operon
GlcNAc phosphomutase (EC 5.4.2.3)	Carbohydrates	Aminosugars	(GlcNAc)2 Catabolic Operon
HTH-type transcriptional regulator PtxR	Carbohydrates	Monosaccharides	2-Ketogluconate Utilization
2-ketogluconate utilization repressor PtxS	Carbohydrates	Monosaccharides	2-Ketogluconate Utilization
Epimerase KguE	Carbohydrates	Monosaccharides	2-Ketogluconate Utilization
2-ketogluconate kinase (EC 2.7.1.13)	Carbohydrates	Monosaccharides	2-Ketogluconate Utilization
2-ketogluconate transporter	Carbohydrates	Monosaccharides	2-Ketogluconate Utilization
2-ketogluconate 6-phosphate reductase (EC 1.1.1.43)	Carbohydrates	Monosaccharides	2-Ketogluconate Utilization
Mannosyl-D-glycerate utilization repressor MngR	Carbohydrates	Di- and oligosaccharides	2-O-alpha-mannosyl-D-glycerate utilization
PTS system, 2-O-alpha-mannosyl-D-glycerate-specific IIA component	Carbohydrates	Di- and oligosaccharides	2-O-alpha-mannosyl-D-glycerate utilization
